# Dictionary generated from iliad.txt
# Words with counts >= 10 and < 100
# Total unique words matching: 2143
# Format: word	count

rend	14
repast	14
retreat	14
rocky	14
rouse	14
sanguine	14
scæan	14
section	14
shady	14
shared	14
shines	14
shone	14
shows	14
sit	14
small	14
stately	14
step	14
strain	14
temples	14
thracian	14
tied	14
torn	14
trademark	14
transport	14
true	14
unconquer	14
urn	14
used	14
vapours	14
virtue	14
water	14
weak	14
weep	14
wrong	14
achaian	13
adverse	13
agenor	13
ajaces	13
archive	13
attention	13
beam	13
beams	13
blade	13
blooming	13
boaster	13
captives	13
charioteer	13
clear	13
collected	13
continues	13
dangers	13
denies	13
discharged	13
dry	13
enough	13
erthrown	13
fighting	13
floods	13
flowers	13
furies	13
gather	13
gay	13
goes	13
gone	13
greatest	13
guilty	13
hapless	13
heat	13
heave	13
heavens	13
herds	13
hold	13
hours	13
however	13
hunger	13
illustrious	13
infernal	13
injured	13
involved	13
jaws	13
lands	13
lasting	13
launch	13
legions	13
level	13
lips	13
literary	13
lust	13
margin	13
marks	13
measures	13
monument	13
myrmidons	13
neighbouring	13
oath	13
object	13
office	13
olympian	13
pains	13
pluto	13
points	13
pole	13
polish	13
powerful	13
proclaim	13
quits	13
quivering	13
ransom	13
receives	13
renew	13
repulsed	13
request	13
respect	13
rhesus	13
rosy	13
ruins	13
scale	13
scenes	13
sinking	13
skilful	13
smile	13
sounds	13
spent	13
stoop	13
string	13
succeeding	13
suffer	13
support	13
swain	13
swords	13
taken	13
throw	13
truth	13
unavailing	13
vales	13
vigorous	13
wealthy	13
whatever	13
withstand	13
access	12
adored	12
aerial	12
afar	12
airy	12
alcides	12
ardent	12
balls	12
blest	12
boldest	12
break	12
breasts	12
bursts	12
charm	12
complain	12
copy	12
crackling	12
crete	12
crime	12
crowded	12
crush	12
decent	12
decide	12
declare	12
despatch	12
discord	12
dress	12
dwell	12
endless	12
eurypylus	12
f	12
fail	12
fault	12
fearless	12
floating	12
foams	12
fruitful	12
gaze	12
goal	12
grain	12
grasp	12
griefs	12
hall	12
hercules	12
home	12
homeric	12
humble	12
impending	12
impious	12
kill	12
leaps	12
lib	12
loves	12
lycia	12
lycians	12
manner	12
messenger	12
nightly	12
obeys	12
observes	12
owed	12
partake	12
parted	12
peers	12
portion	12
provide	12
ramparts	12
rays	12
re	12
rejoin	12
renews	12
rent	12
resolved	12
revolving	12
rite	12
road	12
saved	12
scourge	12
search	12
sheathed	12
slumber	12
spake	12
sthenelus	12
straight	12
strike	12
strive	12
strove	12
stung	12
suit	12
surface	12
surveys	12
swelling	12
tempt	12
towns	12
trembles	12
truce	12
tumultuous	12
untimely	12
unworthy	12
warn	12
watchful	12
wheel	12
whirling	12
wonder	12
abode	11
accept	11
advanced	11
always	11
andromache	11
approve	11
ascends	11
attempt	11
bathes	11
batter	11
beaming	11
bended	11
boasted	11
called	11
camps	11
carnage	11
catch	11
caused	11
cheek	11
confound	11
conscious	11
control	11
dance	11
dared	11
dearest	11
decrees	11
deem	11
defends	11
defied	11
denied	11
description	11
dolon	11
durst	11
empress	11
endued	11
enemy	11
entrails	11
erect	11
excite	11
explore	11
fiercer	11
finds	11
fleecy	11
fleets	11
flowing	11
follows	11
forest	11
fountains	11
friendly	11
games	11
ghastly	11
guiltless	11
hateful	11
holds	11
hounds	11
husband	11
iii	11
invade	11
issued	11
lances	11
latona	11
libations	11
loss	11
majesty	11
manes	11
marble	11
meditates	11
meges	11
menoetius	11
mercy	11
mere	11
meriones	11
message	11
middle	11
mindful	11
monster	11
motion	11
mound	11
ne	11
notes	11
nothing	11
obedient	11
pant	11
paragraph	11
pyre	11
quiver	11
rain	11
realm	11
refund	11
relief	11
repel	11
reproach	11
roaring	11
roused	11
ruled	11
seq	11
shameful	11
shout	11
smokes	11
snow	11
speaks	11
sped	11
stars	11
stiff	11
stooping	11
storms	11
strokes	11
stubborn	11
supine	11
suppress	11
supreme	11
swept	11
tame	11
temper	11
tempests	11
thicken	11
thickest	11
things	11
thoas	11
thyself	11
top	11
tremendous	11
trod	11
tumbles	11
unrevenged	11
untouch	11
vent	11
wandering	11
want	11
withdrew	11
wrongs	11
wrought	11
yellow	11
according	10
account	10
alive	10
anchises	10
approved	10
arrived	10
attack	10
author	10
bacchus	10
bank	10
banquet	10
big	10
birds	10
bone	10
built	10
bulk	10
change	10
chased	10
child	10
chose	10
comfort	10
coming	10
compassion	10
compose	10
consent	10
copious	10
cruel	10
dawn	10
deck	10
declares	10
deities	10
delay	10
deserve	10
divinely	10
dost	10
dragg	10
drink	10
during	10
dyed	10
employed	10
erring	10
eumelus	10
event	10
evil	10
except	10
extend	10
faith	10
faithless	10
favouring	10
figure	10
five	10
foam	10
fond	10
forbid	10
forbids	10
fourth	10
gallant	10
gazing	10
giant	10
glides	10
glowing	10
glut	10
grasps	10
grove	10
growing	10
grows	10
guarded	10
hairs	10
harvests	10
heav	10
heaving	10
hecatombs	10
heroic	10
house	10
image	10
immense	10
indignant	10
issuing	10
joys	10
later	10
lawless	10
lend	10
locks	10
madness	10
maids	10
means	10
menestheus	10
methods	10
milk	10
mure	10
murmur	10
n	10
names	10
need	10
noblest	10
nods	10
oars	10
pair	10
partner	10
permit	10
plenteous	10
prevail	10
proceed	10
procession	10
progress	10
prospect	10
prowess	10
rattling	10
reclined	10
regard	10
regions	10
remote	10
removed	10
resentment	10
resolves	10
resounds	10
rout	10
